query_id,none_hit@10,none_rr@10,none_ndcg@10,compressed_hit@10,compressed_rr@10,compressed_ndcg@10,run_name,M,Compression,delta_hit@10,delta_rr@10,delta_ndcg@10,quantization_sensitivity_type
q014,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_opq_pq,8,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q015,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_opq_pq,8,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q016,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_opq_pq,8,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q017,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_opq_pq,8,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q026,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M24_opq_pq,24,OPQ+PQ,0.0,0.0,0.0,stable
q021,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_opq_pq,8,OPQ+PQ,0.0,0.0,0.0,stable
q027,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M24_opq_pq,24,OPQ+PQ,0.0,0.0,0.0,stable
q021,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_pq,8,IVF+PQ,0.0,0.0,0.0,stable
q028,1.0,0.1,0.17723928678404774,1.0,0.1,0.17723928678404774,w6_N10_M24_opq_pq,24,OPQ+PQ,0.0,0.0,0.0,stable
q023,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_pq,8,IVF+PQ,0.0,0.0,0.0,stable
q029,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M24_opq_pq,24,OPQ+PQ,0.0,0.0,0.0,stable
q026,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_pq,8,IVF+PQ,0.0,0.0,0.0,stable
q027,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_pq,8,IVF+PQ,0.0,0.0,0.0,stable
q028,1.0,0.1,0.17723928678404774,1.0,0.1,0.17723928678404774,w6_N10_M8_ivf_pq,8,IVF+PQ,0.0,0.0,0.0,stable
q029,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_pq,8,IVF+PQ,0.0,0.0,0.0,stable
q030,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_pq,8,IVF+PQ,0.0,0.0,0.0,stable
q030,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M24_opq_pq,24,OPQ+PQ,0.0,0.0,0.0,stable
q003,1.0,0.1,0.2890648263178879,1.0,0.1,0.2890648263178879,w6_N10_M8_opq_pq,8,OPQ+PQ,0.0,0.0,0.0,stable
