run_name,query_id,hit@10,rr@10,ndcg@10,first_rel_rank,num_returned,N,M,Compression,Index Size MB,Latency ms/query
w6_N10_M8_ivf_pq,q027,0.0,0.0,0.0,,10,10,8,IVF+PQ,0.00616455078125,4.808243115743001
w6_N10_M8_ivf_pq,q028,1.0,0.1,0.17723928678404774,10.0,10,10,8,IVF+PQ,0.00616455078125,4.808243115743001
w6_N10_M8_ivf_pq,q029,0.0,0.0,0.0,,10,10,8,IVF+PQ,0.00616455078125,4.808243115743001
w6_N10_M8_ivf_pq,q030,0.0,0.0,0.0,,10,10,8,IVF+PQ,0.00616455078125,4.808243115743001
w6_N10_M8_ivf_opq_pq,q001,1.0,0.25,0.43067655807339306,4.0,10,10,8,IVF+OPQ+PQ,0.00616455078125,4.803927739461264
w6_N10_M8_ivf_opq_pq,q002,1.0,0.1111111111111111,0.3010299956639812,9.0,10,10,8,IVF+OPQ+PQ,0.00616455078125,4.803927739461264
w6_N10_M8_ivf_opq_pq,q003,1.0,0.1111111111111111,0.3010299956639812,9.0,10,10,8,IVF+OPQ+PQ,0.00616455078125,4.803927739461264
w6_N10_M8_ivf_opq_pq,q004,1.0,0.1,0.2890648263178879,10.0,10,10,8,IVF+OPQ+PQ,0.00616455078125,4.803927739461264
w6_N10_M8_ivf_opq_pq,q005,0.0,0.0,0.0,,10,10,8,IVF+OPQ+PQ,0.00616455078125,4.803927739461264
w6_N10_M8_ivf_opq_pq,q006,0.0,0.0,0.0,,10,10,8,IVF+OPQ+PQ,0.00616455078125,4.803927739461264
w6_N10_M8_ivf_opq_pq,q007,0.0,0.0,0.0,,10,10,8,IVF+OPQ+PQ,0.00616455078125,4.803927739461264
w6_N10_M8_ivf_opq_pq,q008,0.0,0.0,0.0,,10,10,8,IVF+OPQ+PQ,0.00616455078125,4.803927739461264
w6_N10_M8_ivf_opq_pq,q009,0.0,0.0,0.0,,10,10,8,IVF+OPQ+PQ,0.00616455078125,4.803927739461264
w6_N10_M8_ivf_opq_pq,q010,0.0,0.0,0.0,,10,10,8,IVF+OPQ+PQ,0.00616455078125,4.803927739461264
w6_N10_M8_ivf_opq_pq,q011,0.0,0.0,0.0,,10,10,8,IVF+OPQ+PQ,0.00616455078125,4.803927739461264
w6_N10_M8_ivf_opq_pq,q012,0.0,0.0,0.0,,10,10,8,IVF+OPQ+PQ,0.00616455078125,4.803927739461264
w6_N10_M8_ivf_opq_pq,q013,0.0,0.0,0.0,,10,10,8,IVF+OPQ+PQ,0.00616455078125,4.803927739461264
